,state,naics,num_employees,annual_payroll
35500,8,11,1932,90276
35610,8,21,24082,2396639
35733,8,22,9274,1038382
35807,8,23,180734,11879311
36180,8,31,130080,8370300
37712,8,42,103071,8320666
38420,8,44,284219,9385624
39262,8,48,91348,5105840
39664,8,51,96186,10505340
39979,8,52,126168,12190252
40297,8,53,52133,2949313
40565,8,54,219296,20608845
41050,8,55,54566,6498856
41093,8,56,276398,14014747
41534,8,61,56348,2056347
41732,8,62,330520,17905660
42214,8,71,58246,1854289
42474,8,72,300580,5788431
42673,8,81,115263,4160332
43125,8,99,282,10686
43139,9,11,317,12309
43185,9,21,698,53738
43226,9,22,7603,1010979
43271,9,23,58733,4275894
43626,9,31,159874,12267024
44977,9,42,68578,5886069
45670,9,44,182272,5852984
46452,9,48,50403,2241392
46848,9,51,38543,4242184
47136,9,52,114192,18048180
47433,9,53,20703,1233496
47669,9,54,113200,11116209
48117,9,55,33936,4625259
48158,9,56,87783,4168932
48566,9,61,79558,4010521
48741,9,62,299524,15915182
49179,9,71,30591,698850
49402,9,72,145604,2812321
49557,9,81,59364,1982774
49962,9,99,114,5198
49975,10,11,113,6075
50010,10,21,437,38811
50036,10,22,2475,308614
50074,10,23,23465,1442917
50381,10,31,29718,1935684
50804,10,42,18414,1976991
51274,10,44,55071,1597930
51967,10,48,18444,790370
52280,10,51,7225,567471
52456,10,52,41109,4450672
52704,10,53,6361,354852
52913,10,54,32771,3609625
53270,10,55,6591,740189
53306,10,56,29864,1300699
53587,10,61,6943,272761
53716,10,62,75037,4300989
54098,10,71,9296,216559
54272,10,72,42981,720082
54392,10,81,15408,475405
54703,10,99,321,8270
54717,11,22,2092,336614
54739,11,23,10004,750702
54930,11,31,1048,46244
55001,11,42,3431,306775
55235,11,44,23148,707975
55733,11,48,3828,480712
55876,11,51,28831,3546726
56121,11,52,20494,3575084
56333,11,53,11216,971946
56482,11,54,107658,15210105
56867,11,55,8836,1123904
56896,11,56,31577,1551188
57149,11,61,55619,3265107
57285,11,62,73547,4689493
57615,11,71,11895,585782
57766,11,72,73919,1511325
57896,11,81,75988,7188448
58181,11,99,41,1513
58193,12,11,7715,296497
58350,12,21,3734,285037
58442,12,22,27578,3141131
58532,12,23,493523,26152545
58920,12,31,325068,18499812
61085,12,42,334732,21627623
61906,12,44,1118138,33396868
62797,12,48,321100,15560902
63405,12,51,175499,15837762
63777,12,52,397483,35890302
64176,12,53,187024,9137488
64466,12,54,565050,42940484
64976,12,55,165332,14812077
65020,12,56,2008920,96096863
65491,12,61,179351,7263034
65704,12,62,1200831,63805546
66259,12,71,222910,6940314
66584,12,72,1014310,18383025
66783,12,81,334841,10284038
67292,12,99,940,31687
67307,13,11,7867,373786
67446,13,21,5166,363408
67525,13,22,23117,2441418
67591,13,23,203055,12442890
67969,13,31,391620,20744911
69870,13,42,205908,14419644
70623,13,44,487658,13941696
71496,13,48,243581,13828253
72005,13,51,117449,12030047
72348,13,52,183954,18401367
72697,13,53,71082,4943527
72968,13,54,303779,25776191
73447,13,55,134916,14086070
73490,13,56,416683,16528900
73931,13,61,87406,3779217
74129,13,62,544603,28388020
74660,13,71,56804,1717828
74937,13,72,459055,7138596
75118,13,81,162932,5204975
75598,13,99,516,17654
75612,15,11,164,4366
75643,15,21,139,10797
75647,15,22,3687,403367
75693,15,23,31469,2402739
76016,15,31,12778,522648
76470,15,42,17624,924081
76972,15,44,69668,2094329
77661,15,48,32344,1409309
77989,15,51,8037,505802
78186,15,52,21863,1701615
78379,15,53,14267,668552
78578,15,54,23664,1726566
78912,15,55,7716,610578
78945,15,56,67900,2448225
79256,15,61,17748,657934
79399,15,62,73273,4378579
79782,15,71,11615,245918
79961,15,72,110201,2267530
80094,15,81,25125,769751
80417,15,99,93,3175
80431,16,11,3723,160331
80547,16,21,2198,150861
80628,16,22,3888,400814
80693,16,23,51686,2618124
81042,16,31,63808,3896768
81987,16,42,33495,2282806
82508,16,44,85559,2749843
83259,16,48,22030,947404
83566,16,51,15777,1008047
83785,16,52,23947,1691138
84032,16,53,9069,407423
84248,16,54,38826,2665495
