,year,state,manuRatio,voteRate,demRatio,swingIndex
189,2012,Minnesota,0.03810936213477248,70.5,0.5394122646169819,0.0394122646169818
190,2016,Minnesota,0.03988100220902929,65.3494,0.5083169370718048,0.0083169370718048
191,2020,Minnesota,0.041067980096017385,74.3,0.5363951364856667,0.0363951364856667
192,1992,Missouri,0.07050359712230217,66.2,0.5650696610031356,0.0650696610031356
193,1996,Missouri,0.07218543046357616,61.1,0.5354703747642815,0.0354703747642815
194,2000,Missouri,0.07071651090342679,65.4,0.4828805134324933,0.0171194865675067
195,2004,Missouri,0.05588235294117647,66.3,0.4638028733456015,0.0361971266543985
196,2008,Missouri,0.05694444444444444,64.2,0.4993242085032335,0.0006757914967664
197,2012,Missouri,0.038863636363636364,62.3,0.4522133324662002,0.0477866675337997
198,2016,Missouri,0.04298245614035088,62.8172,0.4018143900443393,0.0981856099556607
199,2020,Missouri,0.04384133611691023,64.5,0.4216417935559855,0.0783582064440144
200,1992,Mississippi,1.3966549295774646,66.7,0.450715105326158,0.049284894673842
201,1996,Mississippi,1.275705329153605,55.1,0.472527762454129,0.027472237545871
202,2000,Mississippi,0.8989424206815512,59.8,0.4139451516075371,0.0860548483924629
203,2004,Mississippi,0.642602892102336,60.7,0.4049499923037863,0.0950500076962136
204,2008,Mississippi,0.657940446650124,68.2,0.4335806900713616,0.0664193099286384
205,2012,Mississippi,0.5528445006321112,73.3,0.4419810080121222,0.0580189919878778
206,2016,Mississippi,0.6153236459709379,66.7048,0.4091015267593994,0.0908984732406005
207,2020,Mississippi,0.6031725888324874,69.2,0.4161501417261114,0.0838498582738885
208,1992,Montana,0.020694087403598974,71.4,0.517240571248753,0.017240571248753
209,1996,Montana,0.0270801532116927,67.3,0.4831258954927583,0.0168741045072416
210,2000,Montana,0.03351172549274514,62.2,0.3634363802133028,0.1365636197866971
211,2004,Montana,0.03728747704783451,69.9,0.3949992382433664,0.1050007617566335
212,2008,Montana,0.04183889027474731,64.7,0.4883059671605927,0.0116940328394072
213,2012,Montana,0.03933810466473783,64.5,0.4296576813611854,0.0703423186388146
214,2016,Montana,0.04279480916082803,65.2467,0.3889033568297556,0.1110966431702444
215,2020,Montana,0.04960308245072667,72.6,0.4160281990795189,0.0839718009204811
216,1992,North Carolina,0.16923780179287387,60.0,0.4954153572081328,0.0045846427918672
217,1996,North Carolina,0.1934530849984492,54.0,0.4747001333026536,0.0252998666973464
218,2000,North Carolina,0.18702026493436116,53.2,0.4353600301849695,0.0646399698150305
219,2004,North Carolina,0.1531035875365241,58.2,0.4375802799815888,0.0624197200184111
220,2008,North Carolina,0.145566195694933,63.8,0.5016596330006732,0.0016596330006731
221,2012,North Carolina,0.14069623771702472,63.7,0.48965965096995,0.0103403490300499
222,2016,North Carolina,0.5170212765957447,61.5973,0.4809625419628128,0.0190374580371872
223,2020,North Carolina,0.5071428571428571,58.9,0.4931581746681328,0.0068418253318672
